key_lotr,key_ft,card_name,text_clean,text_combined,book,chapter,row,tier
83,73,Swords to Plowshares,"Anything that Hobbits had no immediate use for, but were unwilling to throw away, they called a mathom. Their dwellings were apt to become rather crowded with mathoms."," the mathom-house it was called; for anything that hobbits had no immediate use for, but were unwilling to throw away, they called a mathom.",fs,1,237,all
98,22,Prize Pig,The habit of building farmhouses and barns began among the inhabitants of the Marish down by the Brandywine., the habit of building farmhouses and barns was said to have begun among the inhabitants of the marish down by the brandywine.,fs,1,278,all
109,172,Command Tower,The Hobbits of the Westfarthing said that one could see the Sea from the top of that tower; but no Hobbit had ever been known to climb it., the hobbits of the westfarthing said that one could see the sea from the lop of that tower; but no hobbit had ever been known to climb it.,fs,1,297,all
119,197,Sandsteppe Citadel,"The houses and the holes of Shire-Hobbits were often large, and inhabited by large families. Sometimes many generations of relatives lived in comparative peace together in one ancestral and many-tunneled mansion."," the houses and the holes of shire-hobbits were often large, and inhabited by large families.",fs,1,321,all
292,48,Horizon Canopy,"It was popularly believed, as local legend, that the Hill at Bag End was full of tunnels stuffed with treasure."," the riches he had brought back from his travels had now become a local legend, and it was popularly believed, whatever the old folk might say, that the hill at bag end was full of tunnels stuffed with treasure.",fs,5,17,all
323,5,The Gaffer,"On the growing of vegetables, especially potatoes, Master Hamfast Gamgee was recognized as the leading authority by all in the neighborhood."," with perfect truth: for bilbo was very polite to him, calling himmaster hamfast, and consulting him constantly upon the growing of vegetables - in the matter ofroots, especially potatoes, the gaffer was recognized as the leading authority by all in the neighbourhood (including himself).",fs,5,79,all
419,151,Chromatic Lantern,"Gandalf’s fame in the Shire was due mainly to his skill with fires, smokes, and lights."," that was gandalf s mark, of course, and the old man was gandalf the wizard, whose fame in the shire was due mainly to his skill with fires, smokes, and lights.",fs,5,221,all
435,205,Sunpetal Grove,"The flowers glowed red and golden: snapdragons and sunflowers, and nasturtians trailing all over the turf walls and peeping in at the round windows."," the flowers glowed red and golden: snap-dragons and sun-flowers, and nasturtiums trailing all over the turf walls and peeping in at the round windows.",fs,5,246,all
679,196,Rogue's Passage,"I’m leaving; for somewhere where I can finish my book, perhaps. I have thought of a nice ending for it: ‘And he lived happily ever after to the end of his days.’
", i have thought of a nice ending for it: and he lived happily ever after to the end of his days.,fs,5,640,all
722,149,Arcane Signet,"Magic rings are, well, magical; and they are rare and curious.
"," magic rings are - well, magical; and they are rare and curious.",fs,5,688,all
1127,111,Inferno Titan,"I daresay there’s more truth in some of them stories than you reckon.
"," no doubt you can, retorted sam,and i daresay there's more truth in some of them than you reckon.",fs,6,124,all
1354,77,Boon of the Wish-Giver,"Three Rings for the Elven-kings under the sky,
Seven for the Dwarf-lords in their halls of stone,
Nine for Mortal Men doomed to die,
One for the Dark Lord on his dark throne
In the Land of Mordor where the Shadows lie."," it is only two lines of a verse long known in elven-lore: three rings for the elven-kings under the sky, seven for the dwarf-lords in their halls of stone, nine for mortal men doomed to die, one for the dark lord on his dark throne in the land of mordor where the shadows lie.",fs,6,471,all
1371,76,Arcane Denial,"Last night I told you of Sauron, the Dark Lord. The rumors are true: he has arisen again.
", the rumours that you have heard are true: he has indeed arisen again and left his hold in mirkwood and returned to his ancient fastness in the dark tower of mordor.,fs,6,495,all
1386,112,Knollspine Dragon,"Of the seven Rings of Power the Dwarf-kings possessed, three Sauron has recovered, and the others the dragons have consumed."," seven the dwarf-kings possessed, but three he has recovered, and the others the dragons have consumed.",fs,6,519,all
1508,12,"Gollum, Obsessed Stalker","He hated the Ring and loved it, as he hated and loved himself."," he hated it and loved it, as he hated and loved himself.",fs,6,731,all
1815,187,Graypelt Refuge,"As long as the Shire remains safe, I shall find wandering more bearable; somewhere there is a firm foothold, even if I cannot return.
"," i feel that as long as the shire lies behind, safe and comfortable, i shall find wandering more bearable: i shall know that somewhere there is a firm foothold, even if my feet cannot stand there again.",fs,6,1111,all
1998,169,Canopy Vista,"The Shire had seldom seen so fair a summer, or so rich an autumn; the trees were laden with apples, honey was dripping in the combs, and the corn was tall and full."," the shire had seldom seen so fair a summer, or so rich an autumn: the trees were laden with apples, honey was dripping in the combs, and the corn was tall and full.",fs,7,141,all
2239,128,Farseek,"It’s a dangerous business, Frodo, going out of your door. You step into the Road, and if you don’t keep your feet, there is no knowing where you might be swept off to.
"," ""you step into the road, and if you dont keep your feet, there is no knowing where you might be swept off to.",fs,7,506,all
2605,83,Forbidden Alchemy,"Do not meddle in the affairs of Wizards, for they are subtle and quick to anger."," but it is said: do not meddle in the affairs of wizards, for they are subtle and quick to anger.",fs,7,1105,all
2610,126,Essence Warden,"Elves seldom give unguarded advice, for advice is a dangerous gift, even from the wise to the wise.
"," elves seldom give unguarded advice, for advice is a dangerous gift, even from the wise to the wise, and all courses may run ill.",fs,7,1112,all
2750,168,Brushland,"Shortcuts make long delays. The country is rough round here, and there are bogs and all kinds of difficulties down in the Marish.
"," the country is rough round here, and there are bogs and all kinds of difficulties down in the marish -i know the land in these parts.",fs,8,144,all
2901,121,Cultivate,"Suddenly as they drew nearer, a terrific baying and barking broke out, and a loud voice was heard shouting: Grip! Fang! Wolf! Come on, lads!"," suddenly as they drew nearer a terrific baying and barking broke out, and a loud voice was heard shouting:grip!",fs,8,369,all
3167,53,"Oboro, Palace in the Clouds",The Brandywine flowed slow and broad before them. A large flat ferry-boat was moored beside the landing., a large flat ferry-boat was moored beside it.,fs,9,11,all
3274,130,Harmonize,"Sing hey! for the bath at close of day
that washes the weary mud away!
A loon is he that will not sing:
O! Water Hot is a noble thing!
", for the bath at close of day that washes the weary mud away!,fs,9,181,all
3485,207,Thornwood Falls,"To Rivendell, where Elves yet dwell
In glades beneath the misty fell.
"," to rivendell, where elves yet dwell in glades beneath the misty fell, through moor and waste we ride in haste, and whither then we cannot tell.",fs,9,467,all
3582,16,"Arwen, Weaver of Hope","From afar, Arwen watched over Aragorn, and in hope, she made for him a great and kingly standard.", a great desire came over him to climb the tower and see the sea.,fs,9,602,all
3753,214,Woodland Cemetery,The Barrow-downs had as sinister a reputation in Hobbit-legend as the Forest itself.," that cheered them greatly; for it was good to see a sight of anything beyond the woods borders, though they did not mean to go that way, if they could help it: the barrow-downs had as sinister a reputation in hobbit-legend as the forest itself.",fs,10,263,all
4562,42,Bojuka Bog,There loomed against the westward stars a dark black shape: a great barrow stood there., to his right there loomed against the westward stars a dark black shape.,fs,12,248,all
4598,89,Crypt Incursion,"Suddenly a song began: a cold murmur, rising and falling, grim, cold, heartless and miserable. The night was railing against the morning of which it was bereaved, and the cold was cursing the warmth for which it hungered."," the night was railing against the morning of which it was bereaved, and the cold was cursing the warmth for which it hungered.",fs,12,309,all
5008,70,Mentor of the Meek,"In a twinkling the table was laid. There was hot soup, cold meats, a blackberry tart, new loaves, slabs of butter, and half a ripe cheese: good plain food, as good as the Shire could show."," there was hot soup, cold meats, a blackberry tart, new loaves, slabs of butter, and half a ripe cheese: good plain food, as good as the shire could show, and homelike enough to dispel the last of sams misgivings (already much relieved by the excellence of the beer).",fs,13,281,all
5597,161,Wayfarer's Bauble,"All that is gold does not glitter,
Not all those who wander are lost;
The old that is strong does not wither,
Deep roots are not reached by the frost."," all that is gold does not glitter, not all those who wander are lost; the old that is strong does not wither, deep roots are not reached by the frost.",fs,14,412,all
5902,7,Grey Host Reinforcements,"I hope they haven’t forgotten how to fight.
"," how could they hope to reach rivendell on foot, pursued by mounted enemies?",fs,15,116,all
6136,46,Deserted Temple,"Amon Sûl they called it. It was burned and broken, and nothing remains of it now but a tumbled ring, like a rough crown on the old hill’s head."," it was burned and broken, and nothing remains of it now but a tumbled ring, like a rough crown on the old hills head.",fs,15,501,all
6310,147,Savvy Hunter,There is food in the wild. You need not be afraid of starving before winter comes., you need not be afraid of starving before winter comes.,fs,15,791,all
6335,127,Farhaven Elf,"The leaves were long, the grass was green,
The hemlock-umbels tall and fair,
And in the glade a light was seen
Of stars in shadow shimmering.
"," he was silent for some time, and then he began not to speak but to chant softly: the leaves were long, the grass was green, the hemlock-umbels tall and fair, and in the glade a light was seen of stars in shadow shimmering.",fs,15,846,all
6415,93,Living Death,They seemed like black holes in the deep shade behind them. Frodo thought that he heard a faint hiss as of venomous breath and felt a thin piercing chill., frodo thought that he heard a faint hiss as of venomous breath and felt a thin piercing chill.,fs,15,1063,all
6419,95,Night's Whisper,"Frodo was hardly less terrified than his companions; he was quaking as if he was bitter cold, but his terror was swallowed up in a sudden temptation to put on the Ring."," frodo was hardly less terrified than his companions; he was quaking as if he was bitter cold, but his terror was swallowed up in a sudden temptation to put on the ring.",fs,15,1069,all
6502,38,Shadowspear,"Few now have the skill in healing to match such evil weapons.
", few now have the skill in healing to match such evil weapons.,fs,16,75,all
6507,198,Scattered Groves,"I have walked far to find these leaves; for this plant does not grow in the bare hills, but in the thickets away south of the Road.
"," these leaves, he said,i have walked far to find; for this plant does not grow in the bare hills; but in the thickets away south of the road i found it in the dark by the scent of its leaves.",fs,16,85,all
7038,81,Devastation Tide,The Riders were overwhelmed: drowned in the roaring of the river as it carried them away., their piercing cries were drowned in the roaring of the river as it carried them away.,fs,16,980,all
7184,98,Sanguine Bond,"They tried to pierce your heart with a Morgul-knife which remains in the wound. If they had succeeded, you would have become like they are, only weaker and under their command.
"," if they had succeeded, you would have become like they are, only weaker and under their command.",fs,17,180,all
7211,133,Overwhelming Stampede,"They do not fear the Ringwraiths, for those who have dwelt in the Blessed Realm live at once in both worlds, and against both the Seen and the Unseen they have great power."," they do not fear the ringwraiths, for those who have dwelt in the blessed realm live at once in both worlds, and against both the seen and the unseen they have great power.",fs,17,227,all
7222,195,Rejuvenating Springs,"You are in Rivendell, and you need not worry about anything for the present.
"," you are in rivendell, and you need not worry about anything for the present.",fs,17,243,all
7255,96,Reanimate,"But the Ringwraiths themselves cannot be so easily destroyed.
", but the ringwraiths themselves cannot be so easily destroyed.,fs,17,294,all
7290,33,Model of Unity,"Rivendell is a perfect house, whether you like food or sleep or storytelling or singing, or a pleasant mixture of them all.
"," that house was, as bilbo had long ago reported,a perfect house, whether you like food or sleep, or story-telling or singing, or just sitting and thinking best, or a pleasant mixture of them all.",fs,17,344,all
7329,180,Flooded Grove,"The sound of running and falling water was loud, and the evening was filled with a faint scent of trees and flowers, as if summer still lingered in Elrond’s gardens."," the sound of running and falling water was loud, and the evening was filled with a faint scent of trees and flowers, as if summer still lingered in elronds gardens.",fs,17,402,all
7435,202,Sulfur Falls,"You should see the waterways of Dale, Frodo, and the fountains, and the pools! You should see the terraces and towers upon the Mountain’s sides!
"," you should see the waterways of dale, frodo, and the fountains, and the pools!",fs,17,593,all
7605,186,Glacial Fortress,"Beneath the Moon and under star
he wandered far from northern strands …
From gnashing of the Narrow Ice
where shadow lies on frozen hills.
"," beneath the moon and under star he wandered far from northern strands, bewildered on enchanted ways beyond the days of mortal lands.",fs,17,840,all
7730,120,Birds of Paradise,"The noise of bubbling waters came up from the foaming riverbed. Birds were singing, and a wholesome peace lay on the land."," birds were singing, and a wholesome peace lay on the land.",fs,18,36,all
7812,156,Sol Ring,"In the Second Age, Sauron was not yet evil to behold, and the Elven-smiths of Eregion received his aid and grew mighty in craft, whereas he learned all their secrets, and betrayed them, and forged secretly in the Mountain of Fire the One Ring to be their master."," for in that time he was not yet evil to behold, and they received his aid and grew mighty in craft, whereas he learned all their secrets, and betrayed them, and forged secretly in the mountain of fire the one ring to be their master.",fs,18,186,all
7828,136,Reclamation Sage,"I have seen three ages in the West of the world, and many defeats, and many fruitless victories.
"," i have seen three ages in the west of the world, and many defeats, and many fruitless victories.",fs,18,222,all
7853,40,Thorn of Amethyst,"Narsil was broken and its light extinguished, and it has not yet been forged again.
"," but narsil was broken and its light extinguished, and it has not yet been forged again.",fs,18,261,all
7866,209,Tranquil Cove,"In the South, the realm of Gondor long endured, and for a while its splendor grew, its people building high towers and havens for many ships."," in the south the realm of gondor long endured; and for a while its splendour grew, recalling somewhat of the might of n®menor, ere it fell.",fs,18,293,all
7873,44,Cabal Coffers,"Evil things came forth, and they took Minas Ithil and abode in it, and they made it into a place of dread; it is now called Minas Morgul, the Tower of Sorcery.
"," and on a time evil things came forth, and they took minas ithil and abode in it, and they made it into a place of dread; and it is called minas morgul, the tower of sorcery.",fs,18,313,all
7891,86,Plea for Power,"Smoke rises once more from Mount Doom. The power of the Black Land grows and we are hard beset.
", the power of the black land grows and we are hard beset.,fs,18,349,all
7913,24,"Boromir, Gondor's Hope","Long have I wandered by roads forgotten, seeking the house of Elrond."," loth was my father to give me leave, and long have i wandered by roads forgotten, seeking the house of elrond, of which many had heard, but few knew where it lay.",fs,18,411,all
7975,67,Fiend Hunter,"What roads would any dare to tread if the Dúnedain were all gone into the grave?
"," what roads would any dare to tread, what safety would there be in quiet lands, or in the homes of simple men at night, if the d®nedain were asleep, or were all gone into the grave?",fs,18,524,all
8102,159,Thought Vessel,"Grudgingly, Lord Denethor permitted me to search among his hoarded scrolls and books.
"," less welcome did the lord denethor show me then than of old, and grudgingly he permitted me to search among his hoarded scrolls and books.",fs,18,721,all
8103,8,Archivist of Gondor,"If indeed you look only, as you say, for records of ancient days and the beginnings of the City, read on!","  ""if indeed you look only, as you say, for records of ancient days, and the beginnings of the city, read on!",fs,18,724,all
8114,84,Learn from the Past,"The Great Ring shall go now to be an heirloom of the North Kingdom; but records of it shall be left in Gondor, lest a time come when the memory of these great matters shall grow dim.
"," for this scroll concerns the ring, and thus wrote isildur therein: the great ring shall go now to be an heirloom of the north kingdom; but records of it shall be left in gondor, where also dwell the heirs of elendil, lest a time come when the memory of these great matters shall grow dim.",fs,18,754,all
8251,118,Asceticism,"Radagast has much lore of herbs and beasts, and birds are especially his friends.
"," radagast is, of course, a worthy wizard, a master of shapes and changes of hue; and he has much lore of herbs and beasts, and birds are especially his friends.",fs,18,995,all
8251,119,Beast Within,"Radagast is, of course, a worthy Wizard, a master of shapes and changes of hue.
"," radagast is, of course, a worthy wizard, a master of shapes and changes of hue; and he has much lore of herbs and beasts, and birds are especially his friends.",fs,18,995,all
8321,79,Consider,"A new Power is rising. Against it, the old allies and policies will not avail us at all. There is one choice before us.
", against it the old allies and policies will not avail us at all.,fs,18,1112,all
8364,2,"Saruman, the White Hand",Over all his works a dark smoke hung and wrapped itself about the sides of Orthanc., over all his works a dark smoke hung and wrapped itself about the sides of orthanc.,fs,18,1176,all
8567,25,Erestor of the Council,There are but two courses: to hide the Ring forever; or to unmake it.," then, said erestor,there are but two courses, as glorfindel already has declared: to hide the ring for ever; or to unmake it.",fs,18,1527,all
8651,123,Elvish Mystic,"The Three Rings of the Elves were not made as weapons of war or conquest
", but they were not made as weapons of war or conquest: that is not their power.,fs,18,1615,all
8654,37,Rings of Brighthearth,"All that has been wrought by those who wield the Three will turn to their undoing, and their minds and hearts will become revealed to Sauron, if he regains the One."," but all that has been wrought by those who wield the three will turn to their undoing, and their minds and hearts will become revealed to sauron, if he regains the one.",fs,18,1621,all
8804,177,Evolving Wilds,"When winter first begins to bite
and stones crack in the frosty night,
when pools are black and trees are bare,
‘tis evil in the Wild to fare."," when winter first begins to bite and stones crack in the frosty night, when pools are black and trees are bare, tis evil in the wild to fare.",fs,19,72,all
8810,142,Extract from Darkness,"The power of their master is in them, and they stand or fall by him.
"," the power of their master is in them, and they stand or fall by him.",fs,19,82,all
9171,97,Revenge of Ravens,"Regiments of black crows are flying all over. I do not know what they are about, but I think they are spying out the land.
", i do not know what they are about: possibly there is some trouble away south from which they are fleeing; but i think they are spying out the land.,fs,19,725,all
9252,52,Mouth of Ronom,"We shall meet bitter cold, if not worse, before we come down on the other side. It will not help us to keep so secret that we are frozen to death.
"," we shall meet bitter cold, if no worse, before we come down on the other side.",fs,19,865,all
9307,100,Anger,There are many evil and unfriendly things in the world that have little love for those who go on two legs.," there are many evil and unfriendly things in the world that have little love for those that go on two legs, and yet are not in league with sauron, but have purposes of their own.",fs,19,955,all
9405,153,Lightning Greaves,"The strongest must seek a way, say you? But I say: let a plowman plow, but choose an otter for swimming, and choose an Elf for running light over grass and leaf.
"," but i say: let a ploughman plough, but choose an otter for swimming, and for running light over grass and leaf or over snow-an elf.",fs,19,1119,all
9927,18,Feasting Hobbit,"His name, of course, was Proudfoot."," of course, of course!",fs,20,697,all
9989,80,Deep Analysis,"There are older and fouler things than Orcs in the deep places of the world.
", there are older and fouler things than ores in the deep places of the world.,fs,20,776,all
10191,117,Zealous Conscripts,"Buckler and corslet, axe and sword,
And shining spears were laid in hoard."," there beryl, pearl, and opal pale, and metal wrought like fishes mail, buckler and corslet, axe and sword, and shining spears were laid in hoard.",fs,20,1148,all
10217,31,"Too Greedily, Too Deep","The Dwarves tell no tale; but even as mithril was the foundation of their wealth, so also it was their destruction.
"," the dwarves tell no tale; but even as mithril was the foundation of their wealth, so also it was their destruction: they delved too greedily and too deep, and disturbed that from which they fled, durins bane.",fs,20,1201,all
10263,108,Guttersnipe,"I have looked on Moria, and it is very great, but it has become dark and dreadful.
"," i have looked on moria, and it is very great, but it has become dark and dreadful; and we have found no sign of my kindred.",fs,20,1266,all
10289,41,Ancient Tomb,"On the slab runes were deeply graven:
BALIN
SON OF FUNDIN
LORD OF MORIA"," on the slab runes were deeply graven: these are daerons runes, such as were used of old in moria, said gandalf.",fs,20,1307,all
10648,23,Windswift Slice,A shrill yell went up, a shrill yell went up: they had been seen.,fs,21,442,all
10648,216,Windswift Slice,A shrill yell went up, a shrill yell went up: they had been seen.,fs,21,442,all
10663,36,Ensnaring Bridge,The way out lay across a slender bridge of stone. It was an ancient defense of the Dwarves that could only be traversed in single file., they could only pass across it in single file.,fs,21,460,all
10877,215,Woodland Stream,"There lie the woods of Lothlórien! That is the fairest of all the dwellings of my people.
", that is the fairest of all the dwellings of my people.,fs,22,117,all
10879,134,Paradise Druid,"There are no trees like the trees of that land.
For in the autumn their leaves fall not, but turn to gold.
"," for in the autumn their leaves fall not, but turn to gold.",fs,22,118,all
11246,19,Galadhrim Ambush,"None of the Orcs will ever return out of Lórien.
", none of the ores will ever return out of lurien.,fs,22,730,all
11307,20,"Haldir, Lórien Lieutenant",Now you must be brought before the Lord and the Lady.," now you have come thus far, you must be brought before the lord and the lady.",fs,22,828,all
11358,176,Drowned Catacomb,"The world is indeed full of peril, and in it there are many dark places; in all lands, love is now mingled with grief.
"," the world is indeed full of peril, and in it there are many dark places; but still there is much that is fair, and though in all lands love is now mingled with grief, it grows perhaps the greater.",fs,22,902,all
11360,190,Lonely Sandbar,"I do not believe that the world about us will ever again be as it was of old. For the Elves may soon pass to the Sea unhindered and leave Middle-earth forever.
"," yet i do not believe that the world about us will ever again be as it was of old, or the light of the sun as it was aforetime.",fs,22,906,all
11444,21,Mirkwood Elk,"Whereas the light perceives the very heart of the darkness, its own secret has not been discovered.
"," in this high place you may see the two powers that are opposed one to another; and ever they strive now in thought, but whereas the light perceives the very heart of the darkness, its own secret has not been discovered.",fs,22,1072,all
11468,210,Tranquil Thicket,"Welcome to Caras Galadhon! Here is the city of the Galadhrim where dwell the Lord Celeborn and Galadriel, the Lady of Lórien.
", here is the city of the galadhrim where dwell the lord celeborn and galadriel the lady of lurien.,fs,23,22,all
11585,131,Heroic Intervention,"Do not let your hearts be troubled. Even now, there is hope left.
"," do not let your hearts be troubled, she said.",fs,23,230,all
11758,179,Field of Ruin,"There’s some devilry at work in the Shire.
"," theres some devilry at work in the shire,' he said.",fs,23,529,all
11810,188,Hinterland Harbor,"Legolas built a grey ship in Ithilien, and sailed down Anduin and so over Sea; and with him, it was said, went Gimli the Dwarf."," a smoke as of fire and battle arose, and again the sun went down in a burning red that faded into a grey mist; and into the mist a small ship passed away, twinkling with lights.",fs,23,601,all
11827,125,Elvish Visionary,"Do not think that only by singing amid the trees, nor even by the slender arrows of Elven- bows, is this land of Lothlórien maintained and defended against its Enemy.
"," but do not think that only by singing amid the trees, nor even by the slender arrows of elven-bows, is this land of lothlurien maintained and defended against its enemy.",fs,23,627,all
11874,10,Raise the Palisade,"She seemed tall beyond measurement, and beautiful beyond enduring, terrible and worshipful."," she stood before frodo seeming now tall beyond measurement, and beautiful beyond enduring, terrible and worshipful.",fs,23,697,all
12455,139,Tireless Provisioner,Lembas is more strengthening than any food made by Men.," but we call it lembas or waybread, and it is more strengthening than any food made by men, and it is more pleasant than cram, by all accounts.",fs,24,158,all
12467,155,Pristine Talisman,Each cloak was fastened about the neck with a brooch like a green leaf veined with silver., each cloak was fastened about the neck with a brooch like a green leaf veined with silver.,fs,24,179,all
12470,163,Whispersilk Cloak,"Are these magic cloaks? asked Pippin.
I do not know what you mean by that, answered the leader of the Elves."," i do not know what you mean by that, answered the leader of the elves.",fs,24,184,all
12548,122,Elvish Archdruid,"I sang of leaves, of leaves of gold, and leaves of gold there grew:
Of wind I sang, a wind there came and in
the branches blew."," sad and sweet was the sound of her voice in the cool clear air: i sang of leaves, of leaves of gold, and leaves of gold there grew: of wind i sang, a wind there came and in the branches blew.",fs,24,305,all
12571,213,Wind-Scarred Crag,"About that stream, on this side of the Great River, lies Rohan.
"," about that stream, on this side of the great river, lies rohan.",fs,24,366,all
12669,212,Vineglimmer Snarl,Lórien seemed like a bright ship masted with enchanted trees sailing away from the margin of the grey and leafless world.," for so it seemed to them: lurien was slipping backward, like a bright ship masted with enchanted trees, sailing on to forgotten shores, while they sat helpless upon the margin of the grey and leafless world.",fs,24,551,all
12762,88,Swan Song,"Once or twice the travelers heard the rush and whine of swan-wings, and looking up they saw a great phalanx streaming along the sky."," once or twice the travellers heard the rush and whine of swan-wings, and looking up they saw a great phalanx streaming along the sky.",fs,25,51,all
12913,129,Great Oak Guardian,"Ent the earthborn, old as mountains.", it is far from the mountains.,fs,25,275,all
